,Reviewer,ReviewerURL,VerifiedPurchase,HelpfulCount,Rating,Title,Description,Date
0,M. D. HEALY,https://amazon.com/gp/profile/amzn1.account.AG7YKXY3LIQS2DRRGE6QSB3PSTUQ,YES,7,5,Superb book that covers practical issues that others don't,"Much of what is written about Machine Learning is focused on the algorithms, which are the ""cool"" part. But in practice, as with any large scale software project, most of your work will involve messier details like getting good training data, cleaning up issues with your training data, managing your data, solving problems that occur, etc., etc. And many ML systems are part of Enterprise Data Platforms, which means all the impedance mismatches between Agile thinking and continuous data curation need to be addressed.This book gets into all these practical details and how to handle them, with examples from actual experience. You cannot run a fancy hotel without dealing with plumbing problems; it's the same for ML in practice.",11/02/2022
1,Parimarjan Negi,https://amazon.com/gp/profile/amzn1.account.AE4S43FJVNA6K3C3KV2WWI6GNHXA,YES,7,5,Distills the best of the blogs and folk wisdom that ML engineers pick up over the years,"I am a PhD student, and have been working to apply ML to different domains for a few years. Recently, I started working with undergrad researchers who did not have any prior experience with ML applications, besides a class or so. But, there is a lot of knowledge that is just collected over the years while debugging problems, discussing with lab mates, or through the many blog posts online. These are the kind of issues that rarely come up in classes --- not just conceptual AI issues -- but how to deal with data / features / efficiently store things / logging etc. In the few chapters I have read through, I found this book to be like the collecting together and unifying the best blogposts and folk wisdom for practical, day to day ML issues. There were a whole lot of things that I did not know, or was curious about, but didn't know where to look for precise answers. But more than that, I found this book to be a perfect reference for the undergrad students I was mentoring -- I have lent my copy to a couple of students for reading particular chapters, particularly on training data and feature engineering, which quickly brings them up to speed on the best practices.",07/02/2022
2,Siamak S.,https://amazon.com/gp/profile/amzn1.account.AHGV3QWI7Q3HH4GZQACNIJDTTWJQ,YES,0,4,Practical book,"Practical content, well balanced between industry and academia. Covers wide variety of topics. Could use more depth in some sections. But overall very useful",08/14/2022
3,Z,https://amazon.com/gp/profile/amzn1.account.AGPV7ASC7NDU4EFEAG64M3RJGESQ,YES,3,5,Poor print quality,"This book is a fantastic read and covers systems design thinking and best practices behind machine learning rather than just tool-specific procedural knowledge. However, I was disappointed by the fact that it is in black and white print though, which ruins the graphics and makes it hard to read - there should be a clear label indicating it is in black and white, and it should not be full price when the publisher is cost-cutting by omitting the full color print.",08/09/2022
4,Denise Shekerjian,https://amazon.com/gp/profile/amzn1.account.AHRDK6LI2RSRLHZ2KQNNHZOPC2OQ,YES,6,5,This book delivers.,"Chip Huyen has a graceful way of deconstructing complicated things and explaining how the pieces combine to make a workable system that achieves a goal. Her book instills in her readers the kind of confidence that comes from a firm grasp of the facts. Sequential, logical, and clearly written with intelligible examples and flashes of humor, it’s a perfect delight to read. In short, Chip Huyen’s book delivers! A must read for the seasoned and novice alike!Denise Shekerjian, author of Uncommon Genius and other works",06/30/2022
5,Jiao Chen,https://amazon.com/gp/profile/amzn1.account.AFZJWAFPAGQJZBI7QAZLKDGCMN5Q,YES,3,5,"Very closely related to industry, topics explained clearly","With four years experience working in industry as MLE, I found this book is really great! It touches most of the topics related to my daily work and explained them clearly. A must read book if you want to build product with ML.",08/19/2022
6,Brad,https://amazon.com/gp/profile/amzn1.account.AFYVJJPKAYXZS76C3K2PDK6MEUFQ,YES,3,5,A practical approach to ML,"My understanding of ML was limited to a course I took on it while studying at University. While I understood a lot of the theory, it is rare that you come away from such courses knowing what tools are being used in the industry to solve real problems. This book is an incredible resource for those looking to build upon their existing knowledge of ML and understand practical development techniques that are used in real world applications.",06/21/2022
7,Khoi T.,https://amazon.com/gp/profile/amzn1.account.AEOS3EZCBARM5TVYPJK5HVGF4NFA,YES,6,5,Excellent book for ML practitioners,"It is true that not all ML practitioners will see their works into production. This book is highly recommended for you if you are looking to become more involved in MLOps and will serve as a great guide for anyone getting into the field. The book is well writen with easy to follow code snippets and examples. From engineers to scientists to grad students, I believe this book will benefit you greatly.",06/21/2022
8,Sandeep Muralidhar Mekala,https://amazon.com/gp/profile/amzn1.account.AHIZXSXVC6Q4FY6DG6FZPE3TQF5Q,YES,0,5,Great one!,I like the flow of it and the expansive description of the implementation,09/11/2022
9,Taberino,https://amazon.com/gp/profile/amzn1.account.AEYDTQAYRHXHRPQ6G3KRPO3722PQ,YES,0,5,Very informative with actionable advice,I would recommend this book to any data scientist or data engineer who develops or deploys ML models. This book expanded my thinking and will improve my work and how ML can contribute positively to business and society.,07/16/2022
10,Ananda Soundhararajan,https://amazon.com/gp/profile/amzn1.account.AH7IQUSU4B2EWSQL32O3NR3LPDQA,YES,2,5,Practical aspects of machine learning,Chip has delivered a great content to understand the practical & operational aspects of machine learning systems which we can't find it in MOOC platforms. This is a must read if you are passionate about designing reliable ML systems.,07/12/2022
11,zhao yang,https://amazon.com/gp/profile/amzn1.account.AFFNOOOEITAUO2UFLKBE2XTVHYEA,YES,0,5,A book that gives you an overview of the ML system design,I enjoy reading this book and learn a lot from it,07/26/2022
12,Amazon Customer,https://amazon.com/gp/profile/amzn1.account.AGH44RYYBO33M7SFGTWPSJFLI2MA,YES,0,5,Wonderful book to help transform from academia to industry!!,Really engaging and informative book. Glad I bought it!,07/05/2022
13,Sara,https://amazon.com/gp/profile/amzn1.account.AHYZGXXRCFU3XONEVZTDYCS3BZ2A,YES,14,3,Not enough details or technical rigor,"It might be a good book for a non-technical audience. Filled with hand-waving claims and opinions. Big disappointment.""Machine Learning Design Patterns: Solutions to Common Challenges in Data Preparation, Model Building, and MLOps"" is much better by comparison.",07/16/2022
